[INFO][2021-06-09 20:22:12,045][MyTest1]info:进入了test_log4j
[DEBUG][2021-06-10 20:47:43,068][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:47:43,068][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:48:30,826][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:48:30,832][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:48:30,888][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:48:30,889][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:48:30,890][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:48:30,890][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:48:31,153][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Opening JDBC Connection
[DEBUG][2021-06-10 20:48:31,973][org.apache.ibatis.datasource.pooled.PooledDataSource]Created connection 86558824.
[DEBUG][2021-06-10 20:48:31,973][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Setting autocommit to false on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@528c868]
[DEBUG][2021-06-10 20:48:31,983][com.com.kuang.dao.UserMapper3.getUserByRowBounds]==>  Preparing: select * from mybatis.user
[DEBUG][2021-06-10 20:48:32,068][com.com.kuang.dao.UserMapper3.getUserByRowBounds]==> Parameters:
[DEBUG][2021-06-10 20:48:32,153][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Resetting autocommit to true on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@528c868]
[DEBUG][2021-06-10 20:48:32,158][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Closing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@528c868]
[DEBUG][2021-06-10 20:48:32,158][org.apache.ibatis.datasource.pooled.PooledDataSource]Returned connection 86558824 to pool.
